Date,Open,High,Low,Close,Adj Close,Volume
2021-09-10,7.400000,7.610000,7.320000,7.420000,7.420000,902100
2021-09-13,7.500000,7.500000,7.060000,7.140000,7.140000,962500
2021-09-14,7.200000,7.200000,6.580000,6.810000,6.810000,884200
2021-09-15,6.870000,6.900000,6.650000,6.860000,6.860000,440400
2021-09-16,6.860000,6.870000,6.680000,6.750000,6.750000,524500
2021-09-17,6.690000,6.820000,6.530000,6.640000,6.640000,754000
2021-09-20,6.430000,6.970000,6.430000,6.830000,6.830000,1563100
2021-09-21,6.950000,7.100000,6.350000,6.380000,6.380000,922500
2021-09-22,6.430000,6.640000,6.380000,6.450000,6.450000,978300
2021-09-23,6.500000,7.000000,6.350000,6.850000,6.850000,2275900
2021-09-24,6.700000,6.970000,6.630000,6.780000,6.780000,773200
2021-09-27,6.780000,7.080000,6.620000,6.880000,6.880000,1038000
2021-09-28,6.850000,7.070000,6.760000,7.010000,7.010000,806600
2021-09-29,7.070000,7.090000,6.400000,6.460000,6.460000,1530600
2021-09-30,6.510000,6.880000,6.200000,6.860000,6.860000,835200
2021-10-01,6.840000,6.887000,6.395000,6.420000,6.420000,638800
2021-10-04,6.460000,6.580000,6.120000,6.250000,6.250000,599800
2021-10-05,6.230000,6.510000,6.040000,6.060000,6.060000,511300
2021-10-06,6.040000,6.040000,5.680000,5.750000,5.750000,479300
2021-10-07,5.730000,5.775000,5.530000,5.540000,5.540000,311800
2021-10-08,5.540000,5.820000,5.410000,5.600000,5.600000,415200
2021-10-11,5.570000,5.630000,5.328000,5.340000,5.340000,251700
2021-10-12,5.340000,5.530000,5.320000,5.460000,5.460000,375000
2021-10-13,5.460000,5.570000,5.430000,5.540000,5.540000,226500
2021-10-14,5.550000,5.795000,5.500000,5.780000,5.780000,277900
2021-10-15,5.780000,5.795000,5.200000,5.220000,5.220000,392400
2021-10-18,5.210000,5.340000,5.183000,5.310000,5.310000,225500
2021-10-19,5.270000,5.390000,4.960000,5.360000,5.360000,1458400
2021-10-20,5.350000,5.430000,4.990000,5.000000,5.000000,361300
2021-10-21,5.000000,5.170000,5.000000,5.120000,5.120000,280500
2021-10-22,5.150000,5.180000,4.980000,5.110000,5.110000,467700
2021-10-25,5.200000,5.200000,4.590000,4.630000,4.630000,1175000
2021-10-26,4.690000,4.770000,4.590000,4.600000,4.600000,652200
2021-10-27,4.570000,4.630000,4.120000,4.620000,4.620000,1722100
2021-10-28,4.670000,4.850000,4.560000,4.730000,4.730000,614700
2021-10-29,4.790000,4.800000,4.530000,4.550000,4.550000,922600
2021-11-01,4.520000,4.770000,4.520000,4.730000,4.730000,294000
2021-11-02,4.730000,4.730000,4.560000,4.590000,4.590000,654000
2021-11-03,4.620000,4.850000,4.550000,4.790000,4.790000,1361400
2021-11-04,4.760000,5.260000,4.750000,5.240000,5.240000,2184100
2021-11-05,5.220000,5.400000,5.070000,5.290000,5.290000,421900
2021-11-08,5.300000,5.400000,5.040000,5.240000,5.240000,209800
2021-11-09,5.250000,5.340000,5.150000,5.320000,5.320000,309700
2021-11-10,5.290000,5.650000,5.201000,5.510000,5.510000,395500
2021-11-11,5.590000,5.760000,5.500000,5.640000,5.640000,366700
2021-11-12,5.460000,5.460000,3.500000,3.570000,3.570000,8535900
2021-11-15,3.840000,3.980000,3.340000,3.420000,3.420000,5478000
2021-11-16,3.390000,3.440000,3.230000,3.350000,3.350000,2275200
2021-11-17,3.360000,3.460000,3.250000,3.290000,3.290000,1489800
2021-11-18,3.260000,3.430000,3.200000,3.430000,3.430000,1339900
2021-11-19,3.510000,3.510000,3.190000,3.240000,3.240000,882200
2021-11-22,3.230000,3.250000,3.052000,3.160000,3.160000,1091600
2021-11-23,3.150000,3.320000,2.810000,2.850000,2.850000,1924900
2021-11-24,2.760000,2.970000,2.670000,2.860000,2.860000,2234400
2021-11-26,2.810000,2.840000,2.680000,2.700000,2.700000,2782900
2021-11-29,2.740000,2.790000,2.630000,2.700000,2.700000,977500
2021-11-30,2.715000,2.715000,2.420000,2.450000,2.450000,1830500
2021-12-01,2.500000,2.530000,2.315000,2.320000,2.320000,1445200
2021-12-02,2.310000,2.350000,2.160000,2.340000,2.340000,1995100
2021-12-03,2.390000,2.390000,2.230000,2.280000,2.280000,823900
2021-12-06,2.230000,2.300000,2.130000,2.230000,2.230000,1933500
2021-12-07,2.240000,2.640000,2.240000,2.480000,2.480000,1696400
2021-12-08,2.480000,2.660000,2.350000,2.590000,2.590000,920800
2021-12-09,2.610000,2.610000,2.350000,2.390000,2.390000,628200
2021-12-10,2.390000,2.440000,2.240000,2.240000,2.240000,794600
2021-12-13,2.250000,2.280000,2.130000,2.170000,2.170000,741800
2021-12-14,2.193000,2.230000,2.040000,2.140000,2.140000,1033700
2021-12-15,2.120000,2.155000,1.990000,2.130000,2.130000,1276700
2021-12-16,2.160000,2.191000,2.000000,2.040000,2.040000,753200
2021-12-17,2.040000,2.068000,1.910000,2.030000,2.030000,1344600
2021-12-20,2.000000,2.040000,1.870000,1.960000,1.960000,1925000
2021-12-21,2.060000,2.060000,1.875000,1.900000,1.900000,2014000
2021-12-22,1.910000,2.010000,1.900000,1.950000,1.950000,2510600
2021-12-23,2.010000,2.150000,2.010000,2.050000,2.050000,1160900
2021-12-27,2.090000,2.200000,2.030000,2.040000,2.040000,1162700
2021-12-28,2.060000,2.100000,1.900000,1.910000,1.910000,1351000
2021-12-29,2.000000,2.000000,1.900000,1.910000,1.910000,1495800
2021-12-30,1.990000,1.990000,1.880000,1.900000,1.900000,1922400
2021-12-31,1.900000,1.930000,1.900000,1.910000,1.910000,964300
2022-01-03,1.940000,1.950000,1.890000,1.920000,1.920000,1048200
2022-01-04,1.930000,1.930000,1.810000,1.890000,1.890000,1002500
2022-01-05,1.880000,1.902000,1.700000,1.720000,1.720000,1162900
2022-01-06,1.760000,1.760000,1.710000,1.750000,1.750000,781700
2022-01-07,1.770000,1.805000,1.660000,1.730000,1.730000,702200
2022-01-10,1.690000,1.709000,1.580000,1.630000,1.630000,3675700
2022-01-11,1.620000,1.830000,1.620000,1.780000,1.780000,1275000
2022-01-12,1.780000,2.000000,1.750000,1.910000,1.910000,2713500
2022-01-13,1.910000,1.930000,1.715000,1.780000,1.780000,1633900
2022-01-14,1.790000,1.980000,1.780000,1.980000,1.980000,1312800
